iteration	timestamp	score	champion_score	status	prompt_hash	brief	test_1	test_2	test_3	test_4	test_5	test_6	test_7	test_8	test_9	test_10	test_11	analysis
0	2026-03-23T22:07:01.467410	3231	3231	baseline	baseline	baseline.json	315	288	432	243	207	207	297	216	297	360	369	All nine plans are byte-identical, so scores are uniform. The most common failure patterns are: (1) deliverables use banned vague words like 'working', 'functional', 'ready', and 'clean' (test_5 req_2 scores low across every phase, especially Phase 11's 'Fully functional MVP ready'); (2) commit cond
1	2026-03-23T22:14:45.352078	3962	3962	keep	86f89f33	all_3	333	309	443	243	320	349	343	355	399	425	443	The most common failure patterns across all plans are: (1) Test 4 (arbitrary ordering) consistently scores low because nearly all plans use numbered sub-steps within phases even when tasks are independent and could be parallelized as bullets, violating the requirement to present independent tasks as
2	2026-03-23T22:54:46.301061	3974	3974	keep	965f26c3	all_3	333	319	444	249	317	339	350	398	351	429	445	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): tasks within phases are almost universally presented as numbered sequential lists even when many are independent and could be parallelized, violating req_3 and req_4. The StudyBattles plans (1-3) consistently struggle w
3	2026-03-24T00:22:38.791121	3842	3974	discard	359028c1	all_3	333	305	418	237	321	344	338	331	352	424	439	The most common failure patterns are: (1) Test 4 (arbitrary ordering) — nearly all plans use numbered task lists within phases even when tasks are independent, failing to distinguish parallel from sequential work. (2) Test 8 (example I/O) — web-app plans with frontend phases often lack concrete UI example descriptions and API phases for CLI tools lack curl/request examples consistently; the CLI plans (4-6) miss API-phase examples since they have no API/UI phases. (3) Test 9 (phase count/granularity) — the StudyBattles plans (1-3) are truncated at phase 8 and appear to target 10+ phases, while the incomplete final phases and uneven task counts across phases reduce granularity scores. The CLI plans (4-6) score highest overall due to clean 6-phase structure, well-bounded scope, and highly testable commit conditions.
4	2026-03-24T02:33:16.727740	3931	3974	discard	82b464ad	all_3	327	302	438	246	314	346	339	353	391	430	445	The most common failure patterns are: (1) Test 4 (arbitrary ordering) consistently scores low across all plans because tasks within phases are presented as numbered sequential lists even when many are independent and could be parallelized—almost no plan uses bullet points or explicitly marks tasks as parallelizable. (2) Test 8 (example I/O presence) is strong for web/API plans but CLI-only plans (Plans 4-6) completely lack UI-phase and database-phase examples since they have no UI or traditional database phases, scoring 0 on those specific sub-requirements. (3) Deliverable specificity (Test 5) suffers mildly across plans from occasional use of banned vague words like 'working' in context and from truncated plans (Plans 1, 2, 3, 8, 9) whose later phases are cut off, making full evaluation impossible for those phases.
5	2026-03-24T03:18:10.753661	3628	3974	discard	8a73dde5	all_3	320	305	437	234	279	326	303	253	370	383	418	The most common failure pattern is Test 8 (Example I/O Presence): CLI-only projects (Plans 4-6) consistently score 0 on API, UI, and database example I/O requirements since they lack those layers, while web projects often truncate or omit examples for later phases. Test 4 (Arbitrary Ordering) is universally weak—nearly all plans use numbered task lists within phases even when tasks are independent, failing to distinguish parallel from sequential work. Test 5 (Deliverable Specificity) suffers from occasional use of vague words like 'working' and insufficient use of specific action verbs, though most plans name concrete artifacts. Plans 1-3 (StudyBattles) are incomplete or truncated, penalizing later-phase scoring.
6	2026-03-24T04:52:16.628123	3848	3974	discard	3bccdacd	all_3	330	315	439	241	314	340	354	276	370	424	445	The most common failure pattern across all plans is Test 8 (Example I/O Presence): CLI-only projects (Plans 4-6) consistently lack API, UI, and database example I/O since those domains don't apply, while web projects (Plans 1-3, 7-9) lack CLI examples. Test 4 (Free of Arbitrary Ordering) is universally weak—nearly all plans use numbered task lists within phases even when tasks are independent, forcing an implied sequential order. Test 9 phase count is a frequent issue for the StudyBattles web plans (Plans 1-3) which are truncated or have 7+ tasks per phase, suggesting insufficient splitting, while the CLI plans (Plans 4-6) with exactly 6 phases are borderline on the lower end.
7	2026-03-24T05:43:19.810044	3809	3974	discard	a082fe0d	all_3	334	304	435	234	296	329	324	343	380	406	424	The most common failure patterns are: (1) Test 4 (arbitrary ordering) consistently scores low across all plans—tasks within phases are almost always numbered sequentially even when independent, and plans rarely present parallel-safe tasks as unordered bullets. (2) Test 8 (example I/O) is weak for CLI-only projects (Plans 4–6) which lack UI/database example outputs in some phases, and the web app plans (1–3, 7–9) sometimes omit concrete examples for frontend phases. (3) Test 5 (deliverable specificity) suffers from occasional vague words like 'working' and insufficient use of precise verbs like 'returns' or 'renders,' though most plans name concrete artifacts well. Plans 4–6 (DevLogSummarizer) score highest overall due to tighter scope and more linear dependency chains, while the StudyBattles and InvoiceFlow plans lose points on granularity and phase count balance.
8	2026-03-24T06:44:48.923963	3860	3974	discard	7a4114bd	all_3	329	313	441	224	305	346	327	347	381	409	438	The most common failure pattern across all plans is Test 4 (Arbitrary Ordering): nearly every plan uses numbered task lists within phases even when tasks are independent and parallelizable, violating req_3 and req_4. Test 8 (Example I/O Presence) is another weak area—CLI-focused plans (4–6) lack UI/database-specific examples, while web plans sometimes omit CLI-phase examples. Several plans also include borderline vague deliverable language ('working', 'functional') or truncated final phases that reduce scores on deliverable specificity and completeness.
9	2026-03-24T07:38:26.479381	3878	3974	discard	4bce3fd7	all_3	335	316	423	249	319	334	346	351	352	418	435	The most common failure patterns are: (1) truncated plans (Plans 1, 2, 3, 7, 8 are cut off mid-phase, causing phase count to fall well below the 6–12 target and losing deployment/polish phases), which directly fails test_9 req_1 and test_3 req_4; (2) within-phase tasks are almost universally presented as numbered sequential lists even when many are independent (e.g., installing packages and writing tests), consistently failing test_4 req_4 across all plans; and (3) UI-focused phases lack concrete example I/O (no screenshot descriptions or rendered HTML examples), causing partial failures on test_8 req_3 for web-based plans, while CLI plans (4, 5, 6) perform better by showing terminal output examples.
10	2026-03-24T08:32:56.052212	3893	3974	discard	a380aa50	all_3	336	308	441	232	307	326	335	359	395	416	438	The most common failure pattern across all plans is Test 4 (arbitrary ordering): nearly every plan uses numbered task lists within phases even when tasks are independent, failing req_3 and req_4 consistently. Test 8 (example I/O presence) is weak for CLI-focused plans (Plans 4–6) which lack UI/database schema examples in some phases, and for web plans that truncate or omit example outputs in later phases. Deliverable specificity (Test 5 req_2) is a recurring soft failure, with words like 'working' or vague phrasing appearing in some deliverables, particularly in Plan 2's e2e testing phase.
